Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Central African Republic,CAF,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,869008795.3,834810718.1,1083576140.7,1064243826,1116732591.6,1044778987.1,1049101554.1,1029858389.6,998708752.1,550619216,634315034.6,571183516.3,577189130.3,597605441.3,661591243,730294678.5,735399666.2,762760558.8,820355739.5,882368356.5
Chad,TCD,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1098899966,1095684903.7,1276029019.5,1539456754.8,1652257599.8,1629647073.8,1757290878.2,1848756646.9,1802465168.1,1874374207.2,2157554831.3,2331368590.1,2346579692.1,2910547099,3724335781.1,2893640684,3033920800.8,3404509175.3,3523256042.8,3571378462.2
Comoros,COM,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,232285377.4,242747448.1,270536977.6,289991668.2,304262777.8,288623246,293423707,287667291,276201185.1,286766514,278373937.8,275725988.2,252330024.2,147531331.2,141753606.4,130562671.9,190574571.8,197214215,282823184.8,299464522.7
"Congo, Dem. Rep.",COD,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,11804397525.6,11612181086.8,10051613856,11433512788,11524216857.1,10683990345.3,11326304418.6,12459468772.6,12296407089.8,13093038536.4,6136642481.8,5473720855.3,5615753343.6,6132474131.8,5481886984.1,5327954207.4,5021565632.4,5083895441.8,4955691893.5,5437546237.5
"Congo, Rep.",COG,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4675949721.5,4820677198.8,5012243895.3,5537629589.3,6834196169.1,6293459091.9,6679740602.5,5277508224.9,5398668926.9,5045860534.8,2789243769.1,3119281098.5,3456907947.6,4012407160,4259618890.8,4218711609.4,3997931626.7,4361234753.4,4314148645.6,6180775666.8
Cote d'Ivoire,CIV,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12059905375.8,11620368633.5,11708673980.2,11680518563.4,13178855340.3,12010684931.6,13644008874.8,14385487798.1,12967578597.9,14895852333.1,11703427489.9,12791036139.9,9543211323.6,9855282186.8,9804687583.5,11387731266.8,11457186653.5,13448932004.3,15653396130.7,19182287178.2
Djibouti,DJI,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,297640325.2,299481210.7,358436688.1,395298449.8,459978368.8,486581369.4,566294148.7,809758970.3,844865800.2,898119190.6,768141416,768908867,801669656.2,819667507.3,942188155.2,1226479152.5,1701148853.8,2266760135.7,2321183981.2,2552387069.6
Dominica,DMA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,183329449.5,232891070.6,248883164.5,307393729.2,324952433,294216801.6,272826815,265526478.1,260470785.8,271883558.1,271398373.2,280448697.4,304779240.8,309862673.4,308231897.2,317214934.8,300168362.9,299719824.9,283303809,282940980
Ethiopia,ETH,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5516263792.3,5745843979,6552441032.8,7281813432.4,6568177206.7,6175805430.4,2220991208.6,2591387173.4,2846424291.2,5360207433.9,7286199658.5,8606448543.8,10463932699.2,12584252082.9,16945024499.2,20519350424.1,23473611284.1,26233362394.7,27793379640.3,28287820758.5
Fiji,FJI,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,121627935.4,108489690.1,138478367.3,185231310.3,190842090.4,229766509.7,300324464.8,325032776.2,480705436.7,691416268.5,731137022.4,1016787517.9,951642618.1,959404600.6,962607045.4,888825435,939748843,1007539373.7,979470658.2,1019989627
