Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Sao Tome and Principe,STP,African Dev. Bank         ,913,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,86906700.7,84915986.7,92108836.7,100528842.7,107559919.6,99793060.7,102398490.4,2471511.2,2812533.1,2964501.9,3158601.6,4662615,5237823.4,6263180,5532986.5,5218661.3,5999752.8,8667280.9,13467034.7,17206498.6
Sao Tome and Principe,STP,African Dev. Bank         ,913,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,-773470.1,-1072960,-1107000,-1221178.3,-1276000,..,-99709699.2,-2618587.2,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Asian Dev. Bank   ,915,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Asian Dev. Bank   ,915,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Inter-American Dev. Bank,909,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Inter-American Dev. Bank,909,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,World Bank-IBRD                         ,901,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,World Bank-IBRD                         ,901,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,World Bank-IDA                         ,905,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,58898000,60961000,65589000,71429000,76884000,72355000,76421000,10721000,13264000,14405000,14218000,14105000,14048000,14004000,13009000,12186000,11574000,11998000,11460000,11138000
Sao Tome and Principe,STP,World Bank-IDA                         ,905,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,-668000,-1035000,-1032000,-1111000,-1254000,-1262000,-69130000,-1000,..,..,-71000,-65000,-70000,-67000,-93000,-107000,-113000,-118000,-115000
Sao Tome and Principe,STP,France,004,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6404274,6160636.8,8518566.2,10314156.8,10556759.5,7344574.1,8498594.3,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,France,004,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,-8843882.3,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Russian Federation,087,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,8811655,8747035,3675490,3561870,3504430,3439810,3377370,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Russian Federation,087,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,-3370124.5,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,United States,302,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,United States,302,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
